OSMID,smiles,Mean_EC50
OSM-X-003,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC(F)C4=CC=C(F)C(F)=C4)N32,0.06536
OSM-X-004,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC(C)(O)C4=CC(F)=C(F)C=C4)N32,0.1012
OSM-X-005,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OC4=CC(C=CC=C5)=C5C=C4)N32,0.1147
OSM-X-006,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC(C)(F)C4=CC(F)=C(F)C=C4)N32,0.1228
OSM-X-007,FC(F)OC(C=C1)=CC=C1C2=NN=C3C(Cl)=NC=C(OCCC4=CC(F)=C(F)C=C4)N32,0.16
OSM-X-008,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OC4=CC=C(C(F)=CC(F)=C5)C5=C4)N32,0.1734
OSM-X-009,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OC4=CC=C(S(F)(F)(F)(F)F)C=C4)N32,0.2627
OSM-X-010,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OC[C@H](N)C4=CC(F)=C(F)C=C4)N32,0.2785
OSM-X-011,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(CCCC4=CC=CC=C4)N32,0.28
OSM-X-012,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(C(NCC4=CC(F)=C(F)C=C4)=O)N32,0.28
OSM-X-013,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(C(NCC4=C(Cl)C(C(F)(F)F)=CC=C4)=O)N32,0.309
OSM-X-014,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(CCCC4=CC(F)=C(F)C=C4)N32,0.32
OSM-X-015,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(C(NCC4=C(Cl)C=CC(Cl)=C4)=O)N32,0.3321
OSM-X-016,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(COCC4=CC(F)=C(F)C=C4)N32,0.36
OSM-X-017,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(C(NCC4=C(Cl)C=CC=C4)=O)N32,0.38
OSM-X-018,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OC4=CC=C(C(F)(F)F)C=C4)N32,0.3829
OSM-X-019,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OC4CN(C5=CC(F)=C(F)C=C5)C4)N32,0.43
OSM-X-020,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OC4=CC(Cl)=C(Cl)C=C4)N32,0.4551
OSM-X-021,FC(C=C1)=C(F)C=C1CCOC2=CN=CC3=NN=C(N4CC(C=CC=C5)=C5C4)N32,0.47
OSM-X-022,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC4(COC4)C5=CC(F)=C(F)C=C5)N32,0.4833
OSM-X-023,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=CC(NCCC4=CC=C(F)C=C4)=NN32,0.5096
OSM-X-024,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC(OCC4=CC(F)=C(F)C=C4)=CN32,0.5207
OSM-X-025,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(C(NC4CCC5=C4C=CC(Cl)=C5)=O)N32,0.5468
OSM-X-026,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(N[C@H](C4=CC=C(F)C(F)=C4)CO)N32,0.5697
OSM-X-027,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OC4=CC=C(C=CS5)C5=C4)N32,0.5764
OSM-X-028,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OC4=CC(C(F)(F)F)=C(Cl)C=C4)N32,0.5973
OSM-X-029,FC(F)OC1=CC=C(C=C1)C2=NN=C3N2C(O[C@H]4CN(C5CC5)[C@H]4C6=CC=C(F)C(F)=C6)=CN=C3,0.6095
OSM-X-030,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC(N4CCOCC4)C5=CC(F)=C(F)C=C5)N32,0.6133
OSM-X-031,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(C(NC4=CC=C(F)C(F)=C4)=O)N32,0.65
OSM-X-032,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(O[C@H]4CN(C5CC5)[C@@H]4C6=CC(F)=C(F)C=C6)N32,0.7308
OSM-X-033,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OC4=CC=C(C(C)(C)C)C=C4)N32,0.738
OSM-X-034,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OC4=CC=C(C=C(F)C(F)=C5)C5=C4)N32,0.8392
OSM-X-035,FC1=CC(NC2=NN=C3C=NC=C(OCCC4=CC(F)=C(F)C=C4)N32)=CC=C1F,0.85
OSM-X-036,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(C(N(C)CC4=CC(Cl)=CC=C4)=O)N32,1.06
OSM-X-037,FC(F)OC1=CC=C(C=C1)C2=NN=C3N2C(O[C@H]4C(N(C5CC5)[C@H]4C6=CC=C(F)C(F)=C6)=O)=CN=C3,1.121
OSM-X-038,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC4CCC5=C4C=CC(Cl)=C5)N32,1.459
OSM-X-039,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OC4=CC(N=C(C(F)(F)F)C=C5)=C5C=C4)N32,1.629
OSM-X-040,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC4=CC=CC5=C4C=CC=C5)N32,1.668
OSM-X-041,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OC4=CC5=NC(OC)=CC=C5C=C4)N32,1.67
OSM-X-042,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OC4=CC=C(C(C)=CC(C)(C)O5)C5=C4)N32,1.822
OSM-X-043,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OC4=CC=C(C(C)=NO5)C5=C4)N32,1.928
OSM-X-044,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OC4=CC=C(N(C)C=C5)C5=C4)N32,1.983
OSM-X-045,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(N4CCC(C5=CC=CC=C5)C4)N32,2
OSM-X-046,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OC4=CC=C(N=C(C(F)(F)F)N=C5)C5=C4)N32,2.025
OSM-X-047,FC1=C(F)C=CC(CCOC2=CN=CC3=NN=C(N4CCC5=C4C=CC(F)=C5)N32)=C1,2.05
OSM-X-048,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OC4=CC(CCCC5)=C5C=C4)N32,2.581
OSM-X-049,FC(C=C1)=C(F)C=C1CCOC2=CN=CC3=NN=C(N4CCCCC4)N32,2.63
OSM-X-050,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OC4=CC=CC(Cl)=C4)N32,3.066
OSM-X-051,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(C(NCCC4=CC=CC=C4)=O)N32,3.17
OSM-X-052,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC(OC4=CC(F)=C(F)C=C4)=CN32,3.446
OSM-X-053,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(C(NC4=CC=C(F)C=C4)=O)N32,3.74
OSM-X-054,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=[N+]([O-])C=C(OCCC4=CC(F)=C(F)C=C4)N32,4.01
OSM-X-055,FC(F)OC(C=C1)=CC=C1C2=NN=C3C(NC=C(OCCC4=CC(F)=C(F)C=C4)N32)=O,4.13
OSM-X-056,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(N4CC(OC5=CC(F)=C(F)C=C5)C4)N32,4.96
OSM-X-057,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(C(NC4=CC=C(F)C=C4Cl)=O)N32,5.576
OSM-X-058,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OC4=CC=CC(OC5=CC=CC=N5)=C4)N32,6.038
OSM-X-059,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OC4=CC5=NN(C)C=C5C=C4)N32,6.203
OSM-X-060,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(N4N=CC(C5=CC(F)=C(F)C=C5)=C4)N32,6.721
OSM-X-061,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=CC(OCCC4=CC=C(F)C(F)=C4)=NN32,6.779
OSM-X-062,FC(F)OC(C=C1)=CC=C1C2=NN=C3C(N(CC)CC)=NC=C(OCCC4=CC(F)=C(F)C=C4)N32,6.86
OSM-X-063,FC(F)OC(C=C1)=CC=C1C2=NN=C3C(C)=NC=C(OCCC4=CC(F)=C(F)C=C4)N32,6.92
OSM-X-064,FC(F)OC(C=C1)=CC=C1C2=NN=C3CNCC(CCO)N32,8.37
OSM-X-065,FC(F)OC(C=C1)=CC=C1C2=NN=C3CNCC(CCCC4=CC=CC=C4)N32,8.76
OSM-X-066,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(NC4=CC=C(Cl)C(Cl)=C4)N32,9.635
OSM-X-094,O=C(N[C@@H](C)C1=CC=CC=C1)C2=CN=CC3=NN=C(C4=CC=C(OC(F)F)C=C4)N23,1.6
